id,description
Plentiful,"Ammunition for this weapon is incredibly common. When reloading it no Ammo check is required  the weapon is automatically reloaded."
Power,"The weapon is surrounded by a crackling power field. Attacks made by Power weapons cannot be parried except by other Power weapons. In addition  if the hit roll for a Power weapon is a 6  no save roll can be made against the attack and its Damage is increased by 1."
Pulverize,"After making an Injury roll for an attack made by this weapon  the attacking player can roll a D6. If the result is equal to or higher than the target's unmodified Toughness  or is a natural 6  they can change one Injury dice from a Flesh Wound result to a Serious Injury result."
Radiation,"When a fighter is hit by an attack made by a Radiation weapon  the attacker rolls D6; if the result is higher than the target's current Toughness or is a natural 6 the target fighter takes a Flesh Wound (regardless of their Wounds characteristic). Do not make a Lasting Injury roll for a fighter taken Out of Action by a weapon with this trait; instead that fighter suffers the Enfeebled Injury."
Rapid Fire (X),"When firing with a Rapid Fire weapon  a successful hit roll scores a number of hits equal to the number of bullet holes on the Firepower dice. In addition the controlling player can roll more than one Firepower dice  up to the number shown in brackets (for example  when firing a Rapid Fire (2) weapon  up to two firepower dice can be rolled). Make an Ammo check for each Ammo symbol that is rolled. If any of them fail  the gun runs Out of Ammo. If two or more of them fail  the gun has jammed and cannot be used for the rest of the battle.If a Rapid Fire weapon scores more than one hit  the hits can be split between multiple targets. The first must be allocated to the initial target  but the remainder can be allocated to other fighters within 3" of the first who are also within range and line of sight. These must not be any harder to hit than the original target...for example if a target in the open is hit  an obscured target cannot have hits allocated to it. Allocate all of the hits before making any wound rolls.Rapid Fire also works in close combat when on a weapon that also has the Pistol trait."
Rapid Fire (1),"When firing with a Rapid Fire weapon  a successful hit roll scores a number of hits equal to the number of bullet holes on the Firepower dice.If a Rapid Fire weapon scores more than one hit  the hits can be split between multiple targets. The first must be allocated to the initial target  but the remainder can be allocated to other fighters within 3" of the first who are also within range and line of sight. These must not be any harder to hit than the original target...for example if a target in the open is hit  an obscured target cannot have hits allocated to it. Allocate all of the hits before making any wound rolls.Rapid Fire also works in close combat when on a weapon that also has the Pistol trait."
Rapid Fire (Selective),"A weapon with this trait is used as if it has the Rapid Fire (1) trait normally  but optionally may be used as if it has the Rapid Fire (2) trait if the fighter using it treats the Shoot action as a Double action."
Rending,"If the roll to wound with a Rending weapon is a natural 6  the attack's Damage is increased by 1."
Rupture,"When a weapon with this trait successfully wounds  D3 Damage is inflicted against the target."
Scarce,"The Reload (Simple) Action cannot be taken on a weapon profile with the Scarce trait."
Scathing,"If the hit roll for an attack made by a weapon with this trait is a natural 6  the attack's Strength is increased by 1 and its Armor Penetration is increased by 1."
Scattershot,"When a target is hit by a scattershot attack  make D6 wound rolls instead of 1."
Shield,"If a fighter is carrying a shield  their Armor save roll is improved by 1. If a fighter does not already have a Armor save roll  a shield grants a Armor save of 6+."
Shock,"If the hit roll for a Shock weapon is a natural 6  the wound roll is considered to automatically succeed (no wound roll needs to be made)."
Silent,"In scenarios that use the Sentries special rules  there is no test to see whether the alarm is raised when a weapon with this trait is used."
Single Shot,"This weapon can only be used once per game. After use it counts as having automatically failed an Ammo Check  and the weapon cannot be reloaded. There is no need to roll the Firepower dice unless the weapon also has the Rapid Fire (x) trait."
Smoke,"Smoke weapons do not cause hits on fighters  they do not cause Pinning and cannot inflict Wounds. Instead mark the location where they hit with a counter. They generate an area of dense smoke  which extends 2.5'' out from the center of the counter; a 5'' Blast marker can be used to determine this area  but it should be considered to extend vertically as well as horizontally. Fighters can move through the smoke  but it blocks line of sight and a fighter who is in the smoke effectively has no vision arc. Anything that cannot be seen by a fighter due to the smoke cannot be targeted  but attacks with the Blast or Template traits that don't declare a target can be used normally. In the End Phase roll a D6; on a 3 or less the area dissipates and the counter is removed."
Template,"An attack made with a Template weapon uses the Flame template to determine hits instead of rolling to hit. All targets (anything with a Wound characteristic) touched by the template are hit by the attack."
Toxin,"When a fighter does not or cannot make a successful Armor save against a wounding Toxin attack  before any Injury rolls are made the fighter's player must roll a D6. If the result is equal to or higher than the fighter's current Toughness or is a natural 6 the fighter takes a Flesh Wound (regardless of their Wounds characteristic)."
Unreliable,"When making an Ammo check for a weapon with this trait  roll twice and apply the worst result."
Unstable,"If the Ammo Symbol is rolled on the Firepower dice when attacking with this weapon  there is a chance the weapon will overheat in addition to needing an Ammo check. Roll a D6. On a 1  2 or 3  the weapon suffers a catastrophic overload and the attacker is taken Out of Action. The attack is still resolved against the target."
Unstable (3''),"If the Ammo Symbol is rolled on the Firepower dice when attacking with this weapon  there is a chance the weapon will overheat in addition to needing an Ammo check. Roll a D6. On a 1  2 or 3  the weapon suffers a catastrophic overload; center a 3'' Blast marker over the attacker and resolve a hit using the attacks's weapon profile against everything under the Blast marker. The attack is still resolved against the original target."
Unwieldy,"A fighter who uses an Unwieldy weapon to shoot in ranged combat treats the Shoot action as a Double action. A fighter who uses an Unwieldy melee weapon in close combat cannot use a second weapon at the same time. Unwieldy weapons take up two weapon slots."
Versatile,"If the wielder of a Versatile weapon is Engaged  it counts as a Melee weapon. Otherwise  it counts as a Ranged weapon."
Virulent,"Fighters have their Toughness reduced by 1 against attacks with this trait. Unliving targets such as inanimate objects  vehicles  and robots are not affected by this trait."
Web,"After an attack with the Web trait has been resolved  roll a D6 if the target was hit but not taken Out of Action. On a 4  5 or 6 they are trapped in webbing; place a Webbed marker on their fighter card and treat the fighter as being Seriously Injured while they remain Webbed. A Webbed fighter may make the Escape Webbing (Double) action; if they do roll a D6 and add to the result the fighter's Strength and an additional +1 for each friendly Active fighter within 1''. On a 7+ remove the Webbed token as the fighter breaks free and becomes Pinned; otherwise the fighter remains Webbed. Friendly fighters within 1'' of a fighter with a Webbed marker on their fighter card may make the Cut Loose (Basic) action; if they do roll a D6 and add the friendly fighter's Strength. If a 1 is rolled the friendly fighter gets themselves stuck; place a Webbed token on the friendly fighter's card and thier activation ends. On a 7+ the Webbed fighter is set free and becomes Pinned; remove the Webbed token from the Webbed fighter."
